상호명,업종중분류명,업종소분류명,표준산업분류명,행정동명,위도,경도,네이버키워드,naver_store_url,store_address
남원추어탕,한식,추어탕전문,한식 음식점업,대야동,37.4528577224385,126.817701932825,대야동%20남원추어탕,https://m.place.naver.com/restaurant/1834337351,경기 시흥시 대골안길 86
커피베이,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,대야동,37.3152986790834,126.923008357667,대야동%20커피베이,https://m.place.naver.com/restaurant/1262447890,경기 시흥시 은계중앙로 151 상가동106호
순이네시골밥상,한식,한식/백반/한정식,한식 음식점업,대야동,37.3405384905852,126.903473955189,대야동%20순이네시골밥상,https://m.place.naver.com/restaurant/36873903,경기 군포시 속달로 205
처갓집양념치킨,유흥주점,호프/맥주,기타 주점업,대야동,37.4482106522128,126.795624028255,대야동%20처갓집양념치킨,https://m.place.naver.com/restaurant/1868824205,경기 시흥시 호현로49번안길 1
별,유흥주점,빠/카페/스탠드빠,일반유흥 주점업,대야동,37.3235128223332,126.887552945748,대야동%20별,https://m.place.naver.com/restaurant/1822839101,경기 시흥시 은계중앙로306번길 69 3층 별이빛나는bar
보니타,한식,한식/백반/한정식,한식 음식점업,대야동,37.3420363889918,126.89691774666,대야동%20보니타,https://m.place.naver.com/restaurant/1485038269,경기 부천시 호현로 483 보광팰리스 1층
어반로스팅,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,대야동,37.4448296056187,126.787484984368,대야동%20어반로스팅,https://m.place.naver.com/restaurant/32278386,경기 시흥시 은행로 172 봉명빌딩 1층
피자스쿨,패스트푸드,피자전문,"피자, 햄버거, 샌드위치 및 유사 음식점업",대야동,37.3274954207605,126.917655135688,대야동%20피자스쿨,https://m.place.naver.com/restaurant/17889233,경기 시흥시 비둘기공원7길 39 트윈프라자
참고기집,한식,갈비/삼겹살,한식 음식점업,대야동,37.3358155596816,126.906250965763,대야동%20참고기집,https://m.place.naver.com/restaurant/21143982,경기 부천시 심곡로 54
애플,유흥주점,호프/맥주,기타 주점업,대야동,37.4424319855359,126.785647767101,대야동%20애플,https://m.place.naver.com/restaurant/1183858529,경기 시흥시 비둘기공원5길 23
돼지한마리,한식,갈비/삼겹살,한식 음식점업,대야동,37.4475450895962,126.786932591863,대야동%20돼지한마리,https://m.place.naver.com/restaurant/1942345077,경기 시흥시 호현로85번길 8-1
수림농원,한식,한식/백반/한정식,한식 음식점업,대야동,37.4624092515935,126.790151402131,대야동%20수림농원,https://m.place.naver.com/restaurant/18225314,경기 시흥시 호현로 261-7
이모노래클럽,유흥주점,룸살롱/단란주점,일반유흥 주점업,대야동,37.4421035322266,126.789642192499,대야동%20이모노래클럽,https://m.place.naver.com/restaurant/1557770832,경기 시흥시 비둘기공원5길 24
