상호명,업종중분류명,업종소분류명,표준산업분류명,행정동명,위도,경도
풍요로운식당,한식,한식/백반/한정식,한식 음식점업,별내동,37.672088817676,127.133204502288
파라호,한식,부대찌개/섞어찌개,한식 음식점업,별내동,37.6531901822068,127.104933442953
유즈,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,별내동,37.6654884303925,127.115565092126
하얀밀수제비,분식,국수/만두/칼국수,분식 및 김밥 전문점,별내동,37.6508797023797,127.111579348075
리본,한식,한식/백반/한정식,한식 음식점업,별내동,37.6665317540077,127.115314679585
가마치통닭,한식,한식/백반/한정식,한식 음식점업,별내동,37.6582073349085,127.126350403354
코모도,유흥주점,룸살롱/단란주점,일반유흥 주점업,별내동,37.6458850785005,127.125667533698
윤정솥뚜껑생삼겹살,한식,갈비/삼겹살,한식 음식점업,별내동,37.6666998378846,127.131872983404
니쿠야,일식/수산물,음식점-일식,일식 음식점업,별내동,37.6461621927205,127.125369658936
동구박,한식,한식/백반/한정식,한식 음식점업,별내동,37.6893556414646,127.107038744277
큰집닭강정,닭/오리요리,후라이드/양념치킨,치킨 전문점,별내동,37.6475465737207,127.123721617754
야미가,한식,한식/백반/한정식,한식 음식점업,별내동,37.6665284258265,127.113671162402
1996암사마늘떡볶이,분식,라면김밥분식,분식 및 김밥 전문점,별내동,37.6465758588761,127.117999108448
리썸카페,양식,정통양식/경양식,서양식 음식점업,별내동,37.6519061610389,127.113878979985
어반클락,한식,한식/백반/한정식,한식 음식점업,별내동,37.6566200558182,127.128590344201
별내도니족발,한식,족발/보쌈전문,한식 음식점업,별내동,37.6472484116836,127.122399282698
별내떡집,제과제빵떡케익,떡전문,제과점업,별내동,37.6503691688717,127.113183300483
감성곱창,한식,곱창/양구이전문,한식 음식점업,별내동,37.6669955649374,127.117088760815
브라우니카페,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,별내동,37.6561080058649,127.102359762679
황제족발,한식,족발/보쌈전문,한식 음식점업,별내동,37.6507304162812,127.114493571416
원조뼈다귀,한식,해장국/감자탕,한식 음식점업,별내동,37.6652945528038,127.116145461665
올리엔남양주별내점,양식,기타전문서양음식점,서양식 음식점업,별내동,37.6578865975553,127.126841505177
모모타코,일식/수산물,음식점-일식,일식 음식점업,별내동,37.6519485801978,127.114728425182
해풍코다리동태탕찜,일식/수산물,수산물전문음식점-종합,한식 음식점업,별내동,37.6581276103523,127.130193430277
빵나무베이커리,제과제빵떡케익,제과점,제과점업,별내동,37.6669955649374,127.117088760815
날쌘카페,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,별내동,37.6516221942599,127.114460317165
CASADIMAGGIO,양식,스테이크전문점,서양식 음식점업,별내동,37.6588848168624,127.126580472641
동광브런치.커피,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,별내동,37.6515892076166,127.129397086121
미호,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,별내동,37.6642814941165,127.133839356683
꼬치의품격,유흥주점,꼬치구이전문점,기타 주점업,별내동,37.6506793351592,127.114890814182
815참치,일식/수산물,참치전문점,일식 음식점업,별내동,37.6515892076166,127.129397086121
진선소고기국밥,한식,한식/백반/한정식,한식 음식점업,별내동,37.6471633711879,127.123080199464
맵당,한식,한식/백반/한정식,한식 음식점업,별내동,37.6593663929919,127.128342902779
푸른바다찜탕,일식/수산물,해물찜/탕전문,한식 음식점업,별내동,37.6512596030571,127.115371226955
망향비빔국수,분식,국수/만두/칼국수,분식 및 김밥 전문점,별내동,37.6635817775991,127.125709361251
이스터,유흥주점,호프/맥주,기타 주점업,별내동,37.6448426992233,127.127266174111
담터추어탕,한식,한식/백반/한정식,한식 음식점업,별내동,37.6431497419388,127.111705411065
뜰로뜰로,한식,한식/백반/한정식,한식 음식점업,별내동,37.6818634898103,127.105246587225
육해가,한식,한식/백반/한정식,한식 음식점업,별내동,37.6666780317811,127.115596315753
유니콘자리,한식,한식/백반/한정식,한식 음식점업,별내동,37.6520670877405,127.111315883594
봄보드레,한식,한식/백반/한정식,한식 음식점업,별내동,37.6528220838071,127.114661391486
샌드리아,패스트푸드,샌드위치전문점,"피자, 햄버거, 샌드위치 및 유사 음식점업",별내동,37.6576479038274,127.128680332987
비스트로보노,양식,기타전문서양음식점,서양식 음식점업,별내동,37.6676858215079,127.116615846794
떡클라쓰,중식,중국음식/중국집,중식 음식점업,별내동,37.6561429282273,127.127428590041
투고,한식,한식/백반/한정식,한식 음식점업,별내동,37.6496725683713,127.12123752597
오롯이서재,한식,한식/백반/한정식,한식 음식점업,별내동,37.6655543746845,127.117151171425
고베소별내,한식,갈비/삼겹살,한식 음식점업,별내동,37.6515892076166,127.129397086121
청년다방,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,별내동,37.6468431511673,127.123639226804
셀렉토커피,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,별내동,37.6515892076166,127.129397086121
컴포즈커피,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,별내동,37.6460277760781,127.126685719948
육회친구참치feat.연어,일식/수산물,음식점-일식,일식 음식점업,별내동,37.6592278477777,127.129103885496
역전할머니맥주,유흥주점,기타일반유흥주점,일반유흥 주점업,별내동,37.6473328689072,127.122851567411
카페,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,별내동,37.6561429282273,127.127428590041
자마버거,한식,한식/백반/한정식,한식 음식점업,별내동,37.6587257065421,127.128214389019
입큰아구찜&알곤이찜,일식/수산물,해물찜/탕전문,한식 음식점업,별내동,37.6517996632035,127.114095565489
롯데시네마,한식,한식/백반/한정식,한식 음식점업,별내동,37.6448426992233,127.127266174111
고향밥상,한식,한식/백반/한정식,한식 음식점업,별내동,37.6430308891028,127.121100476588
노블레스식당,한식,한식/백반/한정식,한식 음식점업,별내동,37.6430308891028,127.121100476588
별별돈가스,한식,한식/백반/한정식,한식 음식점업,별내동,37.6648098037499,127.117590705703
임창정의대단한갈비,한식,갈비/삼겹살,한식 음식점업,별내동,37.6673136278817,127.1162462034
꾸움돼지,한식,한식/백반/한정식,한식 음식점업,별내동,37.6657620303148,127.114802416864
진1926별내,한식,기타고기요리,한식 음식점업,별내동,37.6464286156514,127.124845270837
등촌샤브칼국수,분식,국수/만두/칼국수,분식 및 김밥 전문점,별내동,37.6460277760781,127.126685719948
회다,일식/수산물,횟집,한식 음식점업,별내동,37.6564588018196,127.126280224908
닥치고떡볶이,분식,떡볶이전문,분식 및 김밥 전문점,별내동,37.6517996632035,127.114095565489
낭만치맥,닭/오리요리,후라이드/양념치킨,치킨 전문점,별내동,37.6664774335765,127.132260959741
도시피자,패스트푸드,피자전문,"피자, 햄버거, 샌드위치 및 유사 음식점업",별내동,37.6517996632035,127.114095565489
BHC치킨,닭/오리요리,후라이드/양념치킨,치킨 전문점,별내동,37.6513773223763,127.115449158528
에그드랍,패스트푸드,샌드위치전문점,"피자, 햄버거, 샌드위치 및 유사 음식점업",별내동,37.6473042401309,127.12384911638
곱창의전설,한식,곱창/양구이전문,한식 음식점업,별내동,37.6460277760781,127.126685719948
다온카페,한식,한식/백반/한정식,한식 음식점업,별내동,37.6430308891028,127.121100476588
선식당,한식,한식/백반/한정식,한식 음식점업,별내동,37.6509258194696,127.114117278686
화로상회,부페,고기부페,한식 음식점업,별내동,37.666257131585,127.115941355051
떡볶이대통령,분식,라면김밥분식,분식 및 김밥 전문점,별내동,37.6658662962619,127.117895572007
짐키친,한식,한식/백반/한정식,한식 음식점업,별내동,37.6459121073364,127.125667216868
투움바파스타,한식,한식/백반/한정식,한식 음식점업,별내동,37.6730631943603,127.132150267057
덮덮밥,한식,한식/백반/한정식,한식 음식점업,별내동,37.6665923442996,127.113783751133
달맞이빵,제과제빵떡케익,제과점,제과점업,별내동,37.6653364483974,127.116927058756
일미리금계찜닭,유흥주점,호프/맥주,기타 주점업,별내동,37.6512195697529,127.114839072158
별내제빵소,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,별내동,37.6465105370716,127.121320108335
진심김밥,분식,라면김밥분식,분식 및 김밥 전문점,별내동,37.6510333438208,127.115237920668
파리바게뜨,제과제빵떡케익,제과점,제과점업,별내동,37.6684570422965,127.131897856258
냉만돈,분식,라면김밥분식,분식 및 김밥 전문점,별내동,37.6562383329011,127.129365471218
